Dialect,序號,詞目,詞性,詞目索引,音讀,音讀（符號）,PFS,PFS輸入式,方言點,釋義,例句,相似詞,相反詞,對應音檔名稱
四縣腔,4546,學位, , ,hog5 vi55,hog vi,ho̍k-vi,hok5-vi4,,通常指大學以上學生，於學分修習完畢後，具有某種程度的專業常識，經有關的學術機構覈可或由學校直接授予的學術資格。我國學位分學士、碩士、博士三種。,例：佢在臺灣拿著碩士學位以後，續等又去英國讀博士。(他在臺灣取得碩士學位以後，接著又去英國攻讀博士學位。), , ,　
四縣腔,4547,學習, , ,hog5 xib5,hog xib,ho̍k-si̍p,hok5-sip5,,研習、鑽研。,例：網路頂有盡多學習个資源做得分學生仔使用。(網路上有很多學習的資源可以讓學生使用。),練習　進修　研習, ,　
四縣腔,4548,學籍, , ,hog5 xid5,hog xid,ho̍k-si̍t,hok5-sit5,,登記在校學生個人資料的檔案。入學時取得學籍，退學則取消學籍，可作為學生就讀某校的資格證明。,例：佢因為車禍無辦法去讀書同學校申請保留學籍，等身體較好兜仔正復學。(他因為車禍沒辦法去讀書向學校申請保留學籍，等身體好ㄧ些再復學。), , ,　
四縣腔,4549,學者, ,"詞目分類索引/產業勞動
詞目分類索引/稱謂身分
詞目分類索引/教育文化",hog5 za31,hog zaˋ,ho̍k-chá,hok5-cha3,,從事學術研究，在學術上有一定成就的人。,例：這擺研討會按算邀請全球有關个專家、學者共同討論社會福利个議題。(這次研討會預計邀請全球有關的專家、學者共同討論社會福利的議題。), , ,　
四縣腔,4550,學長, , ,hog5 zong31,hog zongˋ,ho̍k-chóng,hok5-chong3,,對年級或年齡較高同學的尊稱。,例：暗晡夜你愛共下去看學長个表演無？(晚上你要一起去看學長的表演嗎？), , ,　
四縣腔,4551,學老人, ,詞目分類索引/稱謂身分,hog5 lo31 ngin11,hog loˋ nginˇ,ho̍k-ló-ngìn,hok5-lo3-ngin2,,泛稱閩南人。,例：吾姆係學老人，毋過佢个客話講到異正。(我媽媽是閩南人，但她的客語說得很道地。), , ,　
四縣腔,4552,學嘴學鼻, ,詞目分類索引/表情動作,hog5 zoi55 hog5 pi55,hog zoi hog pi,ho̍k-choi-ho̍k-phi,hok5-choi4-hok5-phi4,,（貶）原意為模仿別人說話，後引申為，加油添醋、扭曲原意。,例：該隻人當會學嘴學鼻，厥話毋好全信。(那個人很會把別人的話加油添醋，他的話不要全信。),學漦學濞　捎話　多嘴　學話, ,　
四縣腔,4553,學生仔, ,"詞目分類索引/稱謂身分
詞目分類索引/教育文化",hog5 sang24 e31,hog sangˊ eˋ,ho̍k-sâng-é,hok5-sang1-e3,,指在校讀書的人或修業學藝者。,例：認真學習、尊敬先生，係做學生仔个本分。(認真學習、尊敬師長，是學生應盡的本分。),師仔　徒弟　門徒　弟子, ,　
四縣腔,4554,導師, ,"詞目分類索引/產業勞動
詞目分類索引/稱謂身分
詞目分類索引/教育文化",to24 sii24/(又讀)to55 sii24,toˊ siiˊ/(又讀)to siiˊ,thô-sṳ̂/(又讀)tho-sṳ̂,tho1-sii1/(又讀)tho4-sii1,,指導學生研究學問及擔負生活管理的老師。,例：該位導師同厥班上个同學感情當好。(那位導師和他班上的同學感情很好。), , ,　
四縣腔,4555,憲兵, , ,hien31 bin24,hienˋ binˊ,hién-pîn,hien3-pin1,,國軍兵科之一。具有政治、戰鬥、警察諸性能，主掌軍事警察，並依法令執行司法警察任務，以警衛領袖安全，維護軍隊安全，確保國家安全為使命。,例：憲兵在國慶大會上个表演實在精彩，大家拍手拍無停。(憲兵在國慶大會上的表演實在精彩，大家拍手拍個不停。), , ,　
四縣腔,4556,憲法, , ,hien31 fab2,hienˋ fabˋ,hién-fap,hien3-fap6,,在一國之內，規定國家體制、政府組織、人民權利義務的基本法。,例：憲法係一隻國家个根本大法，有最高階个法律權力。(憲法是一個國家的根本大法，有最高位階的法律權力。), , ,　
四縣腔,4557,懊惱, ,詞目分類索引/思維心態,au55 nau55,au nau,au-nau,au4-nau4,,心中鬱悶、生氣。,例：佢朝晨無赴著公車，來毋掣上班，一肚屎懊惱。(他今天早晨沒趕上公車，上班遲到，一肚子悶氣。),毋爽, ,　
四縣腔,4558,戰車, , ,zan55 ca24,zan caˊ,chan-chhâ,chan4-chha1,,全裝甲結構之全履帶車輛，有炮塔（火炮）、自動武器、通信等裝置，具有越野機動與裝甲防護的能力，為地面部隊中具有決定性之戰鬥裝備。,例：公園肚放有一輛報廢忒个戰車，分人參觀。(公園裡放了一輛報廢的戰車，供人參觀。),戰甲車　裝甲車, ,　
四縣腔,4559,戰爭, , ,zan55 zen24,zan zenˊ,chan-chên,chan4-chen1,,兩個以上的敵對雙方，為了屈服對方的意志，實現自己的主張，運用有形或無形的威力以決勝負的鬥爭。,例：戰爭對人類來講係一種當大个劫數。(戰爭對人類來講是一種很大的劫數。),作戰　相㓾　打戰,和平,　
四縣腔,4560,撿樵, ,詞目分類索引/產業勞動,giam31 ceu11,giamˋ ceuˇ,kiám-chhèu,kiam3-chheu2,,舊時鄉下人家到樹林或野外撿拾薪柴當燃料。,例：頭擺人無熱水器，愛去山肚撿樵來暖水洗身。(以前的人沒有熱水器，要到山林裡撿柴來燒熱水洗澡。), , ,　
四縣腔,4561,撿錢, ,"詞目分類索引/產業勞動
詞目分類索引/財經法政",giam31 qien11,giamˋ qienˇ,kiám-chhièn,kiam3-chhien2,,1.取錢。　2.付錢。　,"這隻月个屋稅先準備好，天光朝晨屋主愛來撿錢。(佢加一下會送貨過來，你愛記得撿錢分人。)
(這個月的房租先準備好，明早房東要來取錢。)
他等一下會送貨過來，你可要記得付款給人家。",1.拿錢　付錢　, ,　
